br0_x, br0_y, br0_z, br0_phi, br0_theta, br0_psi, br0_u, br0_v, br0_w, br0_p, br0_q, br0_r, br1_x, br1_y, br1_z, br1_phi, br1_theta, br1_psi, br1_u, br1_v, br1_w, br1_p, br1_q, br1_r
0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000
0.005,0.030,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.005,1.030,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000
0.010,0.048,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.010,1.048,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000
0.015,0.047,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.015,1.047,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000
0.020,0.028,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.020,1.028,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000
0.025,-0.002,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.025,0.998,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000
0.030,-0.031,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.030,0.969,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.000,0.000
0.035,-0.048,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.035,0.952,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000
0.040,-0.047,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.040,0.953,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000
0.045,-0.027,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.045,0.973,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000
0.051,0.003,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.051,1.003,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000
0.056,0.032,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.056,1.032,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000
0.061,0.049,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.061,1.049,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000
0.066,0.046,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.066,1.046,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000
0.071,0.026,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.071,1.026,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000
0.076,-0.005,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.076,0.995,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000
0.081,-0.033,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.081,0.967,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000
0.086,-0.049,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.086,0.951,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000
0.091,-0.045,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.091,0.955,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000
0.096,-0.024,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.096,0.976,0.000,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000
0.101,0.006,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.101,1.006,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000
0.106,0.035,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.106,1.035,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
0.111,0.049,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.111,1.049,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000
0.116,0.045,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.116,1.045,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000
0.121,0.023,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.121,1.023,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
0.126,-0.008,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.126,0.992,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000
0.131,-0.036,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000,0.131,0.964,0.000,0.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0.000
0.136,-0.049,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,0.000,0.000,0.136,0.951,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,0.000,0.000
0.141,-0.044,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.141,0.956,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,0.000
0.146,-0.021,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,0.000,0.000,0.146,0.979,0.000,0.000,0.000,0.000,-0.013,0.000,0.000,0.000,0.000,0.000
0.152,0.009,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,0.000,0.000,0.152,1.009,0.000,0.000,0.000,0.000,-0.016,0.000,0.000,0.000,0.000,0.000
0.157,0.037,0.000,0.000,0.000,0.000,-0.019,0.000,0.000,0.000,0.000,0.000,0.157,1.037,0.000,0.000,0.000,0.000,-0.019,0.000,0.000,0.000,0.000,0.000
0.162,0.050,0.000,0.000,0.000,0.000,-0.022,0.000,0.000,0.000,0.000,0.000,0.162,1.050,0.000,0.000,0.000,0.000,-0.022,0.000,0.000,0.000,0.000,0.000
0.167,0.043,0.000,0.000,0.000,0.000,-0.025,0.000,0.000,0.000,0.000,0.000,0.167,1.043,0.000,0.000,0.000,0.000,-0.025,0.000,0.000,0.000,0.000,0.000
