br0_x, br0_y, br0_z, br0_phi, br0_theta, br0_psi, br0_u, br0_v, br0_w, br0_p, br0_q, br0_r, br1_x, br1_y, br1_z, br1_phi, br1_theta, br1_psi, br1_u, br1_v, br1_w, br1_p, br1_q, br1_r
0.000,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.003,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.003,1.000,0.505,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.006,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.006,1.000,0.510,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.009,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.009,1.000,0.515,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.012,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.012,1.000,0.520,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.015,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.015,1.000,0.525,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.018,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.018,1.000,0.530,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.021,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.021,1.000,0.535,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.024,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.024,1.000,0.540,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.027,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.027,1.000,0.545,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.030,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.030,1.000,0.551,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.033,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.033,1.000,0.556,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.036,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.036,1.000,0.561,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.039,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.039,1.000,0.566,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.042,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.042,1.000,0.571,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.045,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.045,1.000,0.576,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.048,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.048,1.000,0.581,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.052,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.052,1.000,0.586,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.055,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.055,1.000,0.591,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.058,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.058,1.000,0.596,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.061,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.061,1.000,0.601,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.064,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.064,1.000,0.606,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.067,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.067,1.000,0.611,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.070,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.070,1.000,0.616,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.073,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.073,1.000,0.621,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.076,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.076,1.000,0.626,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.079,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.079,1.000,0.631,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.082,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.082,1.000,0.636,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.085,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.085,1.000,0.641,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.088,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.088,1.000,0.646,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.091,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.091,1.000,0.652,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.094,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.094,1.000,0.657,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.097,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.097,1.000,0.662,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.100,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.100,1.000,0.667,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.103,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.103,1.000,0.672,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.106,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.106,1.000,0.677,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.109,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.109,1.000,0.682,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.112,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.112,1.000,0.687,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.115,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.115,1.000,0.692,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.118,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.118,1.000,0.697,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.121,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.121,1.000,0.702,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.124,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.124,1.000,0.707,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.127,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.127,1.000,0.712,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.130,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.130,1.000,0.717,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.133,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.133,1.000,0.722,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.136,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.136,1.000,0.727,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.139,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.139,1.000,0.732,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.142,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.142,1.000,0.737,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.145,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.145,1.000,0.742,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.148,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.148,1.000,0.747,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.152,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.152,1.000,0.753,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.155,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.155,1.000,0.758,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.158,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.158,1.000,0.763,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.161,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.161,1.000,0.768,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.164,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.164,1.000,0.773,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.167,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.167,1.000,0.778,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.170,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.170,1.000,0.783,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.173,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.173,1.000,0.788,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.176,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.176,1.000,0.793,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.179,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.179,1.000,0.798,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.182,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.182,1.000,0.803,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.185,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.185,1.000,0.808,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.188,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.188,1.000,0.813,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.191,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.191,1.000,0.818,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.194,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.194,1.000,0.823,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.197,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.197,1.000,0.828,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.200,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.200,1.000,0.833,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.203,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.203,1.000,0.838,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.206,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.206,1.000,0.843,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.209,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.209,1.000,0.848,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.212,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.212,1.000,0.854,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.215,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.215,1.000,0.859,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
0.218,0.000,0.500,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.218,1.000,0.864,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000
